SourceName	Organism	Strain	OrganismPart	CellType	characteristics[growth condition]	BiologicalReplicate	AssayName	technology type	comment[data file]	TechnicalReplicate	FractionIdentifier	Label	Label	Instrument	CleavageAgent	Modification	Modification	Modification	FragmentationMethod	CollisionEnergy
Sample 1	Haloferax volcanii DS2	LM08	Whole organism	prokaryotic cell	control	1	Run 1	proteomic profiling by mass spectrometry	Lana-SILAC-1.raw	1	1	SILAC light K:12C(6)14N(2)	SILAC light R:12C(6)14N(4)	AC=MS:1002634;NT=Q Exactive Plus	AC=MS:1001251;NT=Trypsin	NT=Methylthio;AC=UNIMOD:39;TA=C;MT=Fixed	NT=Label:13C(6)15N(2);AC=UNIMOD:259;TA=K;MT=Variable	NT=Label:13C(6);AC=UNIMOD:259;TA=R;MT=Variable	NT=HCD;AC=MS:1002481	27% NCE
Sample 1	Haloferax volcanii DS2	LM08	Whole organism	prokaryotic cell	control	1	Run 2	proteomic profiling by mass spectrometry	Lana-SILAC-2.raw	1	2	SILAC light K:12C(6)14N(2)	SILAC light R:12C(6)14N(4)	AC=MS:1002634;NT=Q Exactive Plus	AC=MS:1001251;NT=Trypsin	NT=Methylthio;AC=UNIMOD:39;TA=C;MT=Fixed	NT=Label:13C(6)15N(2);AC=UNIMOD:259;TA=K;MT=Variable	NT=Label:13C(6);AC=UNIMOD:259;TA=R;MT=Variable	NT=HCD;AC=MS:1002481	27% NCE
Sample 1	Haloferax volcanii DS2	LM08	Whole organism	prokaryotic cell	control	1	Run 3	proteomic profiling by mass spectrometry	Lana-SILAC-3.raw	1	3	SILAC light K:12C(6)14N(2)	SILAC light R:12C(6)14N(4)	AC=MS:1002634;NT=Q Exactive Plus	AC=MS:1001251;NT=Trypsin	NT=Methylthio;AC=UNIMOD:39;TA=C;MT=Fixed	NT=Label:13C(6)15N(2);AC=UNIMOD:259;TA=K;MT=Variable	NT=Label:13C(6);AC=UNIMOD:259;TA=R;MT=Variable	NT=HCD;AC=MS:1002481	27% NCE
Sample 1	Haloferax volcanii DS2	LM08	Whole organism	prokaryotic cell	control	1	Run 4	proteomic profiling by mass spectrometry	Lana-SILAC-4.raw	1	4	SILAC light K:12C(6)14N(2)	SILAC light R:12C(6)14N(4)	AC=MS:1002634;NT=Q Exactive Plus	AC=MS:1001251;NT=Trypsin	NT=Methylthio;AC=UNIMOD:39;TA=C;MT=Fixed	NT=Label:13C(6)15N(2);AC=UNIMOD:259;TA=K;MT=Variable	NT=Label:13C(6);AC=UNIMOD:259;TA=R;MT=Variable	NT=HCD;AC=MS:1002481	27% NCE
Sample 1	Haloferax volcanii DS2	LM08	Whole organism	prokaryotic cell	control	1	Run 5	proteomic profiling by mass spectrometry	Lana-SILAC-5.raw	1	5	SILAC light K:12C(6)14N(2)	SILAC light R:12C(6)14N(4)	AC=MS:1002634;NT=Q Exactive Plus	AC=MS:1001251;NT=Trypsin	NT=Methylthio;AC=UNIMOD:39;TA=C;MT=Fixed	NT=Label:13C(6)15N(2);AC=UNIMOD:259;TA=K;MT=Variable	NT=Label:13C(6);AC=UNIMOD:259;TA=R;MT=Variable	NT=HCD;AC=MS:1002481	27% NCE
Sample 1	Haloferax volcanii DS2	LM08	Whole organism	prokaryotic cell	control	1	Run 6	proteomic profiling by mass spectrometry	Lana-SILAC-6.raw	1	6	SILAC light K:12C(6)14N(2)	SILAC light R:12C(6)14N(4)	AC=MS:1002634;NT=Q Exactive Plus	AC=MS:1001251;NT=Trypsin	NT=Methylthio;AC=UNIMOD:39;TA=C;MT=Fixed	NT=Label:13C(6)15N(2);AC=UNIMOD:259;TA=K;MT=Variable	NT=Label:13C(6);AC=UNIMOD:259;TA=R;MT=Variable	NT=HCD;AC=MS:1002481	27% NCE
Sample 1	Haloferax volcanii DS2	LM08	Whole organism	prokaryotic cell	control	1	Run 7	proteomic profiling by mass spectrometry	Lana-SILAC-7.raw	1	7	SILAC light K:12C(6)14N(2)	SILAC light R:12C(6)14N(4)	AC=MS:1002634;NT=Q Exactive Plus	AC=MS:1001251;NT=Trypsin	NT=Methylthio;AC=UNIMOD:39;TA=C;MT=Fixed	NT=Label:13C(6)15N(2);AC=UNIMOD:259;TA=K;MT=Variable	NT=Label:13C(6);AC=UNIMOD:259;TA=R;MT=Variable	NT=HCD;AC=MS:1002481	27% NCE
Sample 1	Haloferax volcanii DS2	LM08	Whole organism	prokaryotic cell	control	1	Run 8	proteomic profiling by mass spectrometry	Lana-SILAC-8.raw	1	8	SILAC light K:12C(6)14N(2)	SILAC light R:12C(6)14N(4)	AC=MS:1002634;NT=Q Exactive Plus	AC=MS:1001251;NT=Trypsin	NT=Methylthio;AC=UNIMOD:39;TA=C;MT=Fixed	NT=Label:13C(6)15N(2);AC=UNIMOD:259;TA=K;MT=Variable	NT=Label:13C(6);AC=UNIMOD:259;TA=R;MT=Variable	NT=HCD;AC=MS:1002481	27% NCE
Sample 1	Haloferax volcanii DS2	LM08	Whole organism	prokaryotic cell	control	1	Run 9	proteomic profiling by mass spectrometry	Lana-SILAC-9.raw	1	9	SILAC light K:12C(6)14N(2)	SILAC light R:12C(6)14N(4)	AC=MS:1002634;NT=Q Exactive Plus	AC=MS:1001251;NT=Trypsin	NT=Methylthio;AC=UNIMOD:39;TA=C;MT=Fixed	NT=Label:13C(6)15N(2);AC=UNIMOD:259;TA=K;MT=Variable	NT=Label:13C(6);AC=UNIMOD:259;TA=R;MT=Variable	NT=HCD;AC=MS:1002481	27% NCE
Sample 1	Haloferax volcanii DS2	LM08	Whole organism	prokaryotic cell	control	1	Run 10	proteomic profiling by mass spectrometry	Lana-SILAC-10.raw	1	10	SILAC light K:12C(6)14N(2)	SILAC light R:12C(6)14N(4)	AC=MS:1002634;NT=Q Exactive Plus	AC=MS:1001251;NT=Trypsin	NT=Methylthio;AC=UNIMOD:39;TA=C;MT=Fixed	NT=Label:13C(6)15N(2);AC=UNIMOD:259;TA=K;MT=Variable	NT=Label:13C(6);AC=UNIMOD:259;TA=R;MT=Variable	NT=HCD;AC=MS:1002481	27% NCE
