publication,AnnotationType,precision,recall,f1,jacc
32195252,AcquisitionMethod,1.0,1.0,1.0,1.0
32195252,Age,0.0,0.0,0.0,0.0
32195252,AlkylationReagent,1.0,1.0,1.0,1.0
32195252,AnatomicSiteTumor,1.0,1.0,1.0,1.0
32195252,AncestryCategory,0.0,0.0,0.0,0.0
32195252,Bait,1.0,1.0,1.0,1.0
32195252,BMI,1.0,1.0,1.0,1.0
32195252,CellLine,0.0,0.0,0.0,0.0
32195252,CellPart,1.0,1.0,1.0,1.0
32195252,CellType,0.0,0.0,0.0,0.0
32195252,CleavageAgent,1.0,1.0,1.0,1.0
32195252,CollisionEnergy,1.0,1.0,1.0,1.0
32195252,Compound,1.0,1.0,1.0,1.0
32195252,ConcentrationOfCompound,1.0,1.0,1.0,1.0
32195252,Chromatography,1.0,1.0,1.0,1.0
32195252,Depletion,1.0,1.0,1.0,1.0
32195252,DevelopmentalStage,1.0,1.0,1.0,1.0
32195252,Disease,0.0,0.0,0.0,0.0
32195252,DiseaseTreatment,1.0,1.0,1.0,1.0
32195252,EnrichmentMethod,1.0,1.0,1.0,1.0
32195252,Experiment,1.0,1.0,1.0,1.0
32195252,FactorValue,1.0,1.0,1.0,1.0
32195252,FlowRateChromatogram,1.0,1.0,1.0,1.0
32195252,FractionationMethod,0.0,0.0,0.0,0.0
32195252,FractionIdentifier,0.19047619047619047,0.5,0.27586206896551724,0.38095238095238093
32195252,FractionationFraction,1.0,1.0,1.0,1.0
32195252,FragmentationMethod,1.0,1.0,1.0,1.0
32195252,FragmentMassTolerance,0.0,0.0,0.0,0.0
32195252,GeneticModification,1.0,1.0,1.0,1.0
32195252,Genotype,1.0,1.0,1.0,1.0
32195252,GradientTime,1.0,1.0,1.0,1.0
32195252,GrowthRate,1.0,1.0,1.0,1.0
32195252,Instrument,0.0,0.0,0.0,0.0
32195252,IonizationType,1.0,1.0,1.0,1.0
32195252,Label,0.0,0.0,0.0,0.0
32195252,MaterialType,0.0,0.0,0.0,0.0
32195252,Modification,1.0,1.0,1.0,1.0
32195252,MS2MassAnalyzer,0.0,0.0,0.0,0.0
32195252,NumberOfMissedCleavages,1.0,1.0,1.0,1.0
32195252,NumberOfFractions,1.0,1.0,1.0,1.0
32195252,NumberOfTechnicalReplicates,1.0,1.0,1.0,1.0
32195252,NumberOfSamples,1.0,1.0,1.0,1.0
32195252,NumberOfBiologicalReplicates,1.0,1.0,1.0,1.0
32195252,Organism,1.0,1.0,1.0,1.0
32195252,OrganismPart,0.0,0.0,0.0,0.0
32195252,OriginSiteDisease,1.0,1.0,1.0,1.0
32195252,PrecursorMassTolerance,0.0,0.0,0.0,0.0
32195252,PooledSample,1.0,1.0,1.0,1.0
32195252,ReductionReagent,1.0,1.0,1.0,1.0
32195252,SamplingTime,1.0,1.0,1.0,1.0
32195252,SampleTreatment,1.0,1.0,1.0,1.0
32195252,Separation,1.0,1.0,1.0,1.0
32195252,Sex,0.0,0.0,0.0,0.0
32195252,Specimen,1.0,1.0,1.0,1.0
32195252,SpikedCompound,1.0,1.0,1.0,1.0
32195252,Staining,1.0,1.0,1.0,1.0
32195252,Strain,1.0,1.0,1.0,1.0
32195252,SupplementaryFile,1.0,1.0,1.0,1.0
32195252,SyntheticPeptide,0.0,0.0,0.0,0.0
32195252,TumorCellularity,1.0,1.0,1.0,1.0
32195252,TumorGrade,1.0,1.0,1.0,1.0
32195252,TumorSize,1.0,1.0,1.0,1.0
32195252,TumorSite,1.0,1.0,1.0,1.0
32195252,TumorStage,1.0,1.0,1.0,1.0
32195252,Time,1.0,1.0,1.0,1.0
32195252,Temperature,1.0,1.0,1.0,1.0
32195252,Treatment,1.0,1.0,1.0,1.0
32195252,TechnologyType,1.0,1.0,1.0,1.0
32195252,OutOfScope,1.0,1.0,1.0,1.0
32511329,AcquisitionMethod,1.0,1.0,1.0,1.0
32511329,Age,1.0,1.0,1.0,1.0
32511329,AlkylationReagent,1.0,1.0,1.0,1.0
32511329,AnatomicSiteTumor,1.0,1.0,1.0,1.0
32511329,AncestryCategory,1.0,1.0,1.0,1.0
32511329,Bait,0.0,0.0,0.0,0.0
32511329,BMI,1.0,1.0,1.0,1.0
32511329,CellLine,0.0,0.0,0.0,0.0
32511329,CellPart,1.0,1.0,1.0,1.0
32511329,CellType,1.0,1.0,1.0,1.0
32511329,CleavageAgent,1.0,1.0,1.0,1.0
32511329,CollisionEnergy,0.0,0.0,0.0,0.0
32511329,Compound,1.0,1.0,1.0,1.0
32511329,ConcentrationOfCompound,1.0,1.0,1.0,1.0
32511329,Chromatography,1.0,1.0,1.0,1.0
32511329,Depletion,1.0,1.0,1.0,1.0
32511329,DevelopmentalStage,0.0,0.0,0.0,0.0
32511329,Disease,0.0,0.0,0.0,0.0
32511329,DiseaseTreatment,1.0,1.0,1.0,1.0
32511329,EnrichmentMethod,1.0,1.0,1.0,1.0
32511329,Experiment,1.0,1.0,1.0,1.0
32511329,FactorValue,1.0,1.0,1.0,1.0
32511329,FlowRateChromatogram,1.0,1.0,1.0,1.0
32511329,FractionationMethod,0.0,0.0,0.0,0.0
32511329,FractionIdentifier,0.010869565217391304,0.5,0.02127659574468085,0.021739130434782608
32511329,FractionationFraction,1.0,1.0,1.0,1.0
32511329,FragmentationMethod,0.0,0.0,0.0,0.0
32511329,FragmentMassTolerance,0.0,0.0,0.0,0.0
32511329,GeneticModification,1.0,1.0,1.0,1.0
32511329,Genotype,1.0,1.0,1.0,1.0
32511329,GradientTime,1.0,1.0,1.0,1.0
32511329,GrowthRate,1.0,1.0,1.0,1.0
32511329,Instrument,0.0,0.0,0.0,0.0
32511329,IonizationType,1.0,1.0,1.0,1.0
32511329,Label,1.0,1.0,1.0,1.0
32511329,MaterialType,0.0,0.0,0.0,0.0
32511329,Modification,0.5,0.3333333333333333,0.4,0.6666666666666666
32511329,MS2MassAnalyzer,0.0,0.0,0.0,0.0
32511329,NumberOfMissedCleavages,1.0,1.0,1.0,1.0
32511329,NumberOfFractions,1.0,1.0,1.0,1.0
32511329,NumberOfTechnicalReplicates,1.0,1.0,1.0,1.0
32511329,NumberOfSamples,1.0,1.0,1.0,1.0
32511329,NumberOfBiologicalReplicates,1.0,1.0,1.0,1.0
32511329,Organism,1.0,1.0,1.0,1.0
32511329,OrganismPart,0.0,0.0,0.0,0.0
32511329,OriginSiteDisease,1.0,1.0,1.0,1.0
32511329,PrecursorMassTolerance,0.0,0.0,0.0,0.0
32511329,PooledSample,1.0,1.0,1.0,1.0
32511329,ReductionReagent,1.0,1.0,1.0,1.0
32511329,SamplingTime,1.0,1.0,1.0,1.0
32511329,SampleTreatment,1.0,1.0,1.0,1.0
32511329,Separation,0.0,0.0,0.0,0.0
32511329,Sex,1.0,1.0,1.0,1.0
32511329,Specimen,1.0,1.0,1.0,1.0
32511329,SpikedCompound,1.0,1.0,1.0,1.0
32511329,Staining,1.0,1.0,1.0,1.0
32511329,Strain,1.0,1.0,1.0,1.0
32511329,SupplementaryFile,1.0,1.0,1.0,1.0
32511329,SyntheticPeptide,1.0,1.0,1.0,1.0
32511329,TumorCellularity,1.0,1.0,1.0,1.0
32511329,TumorGrade,1.0,1.0,1.0,1.0
32511329,TumorSize,1.0,1.0,1.0,1.0
32511329,TumorSite,1.0,1.0,1.0,1.0
32511329,TumorStage,1.0,1.0,1.0,1.0
32511329,Time,1.0,1.0,1.0,1.0
32511329,Temperature,1.0,1.0,1.0,1.0
32511329,Treatment,1.0,1.0,1.0,1.0
32511329,TechnologyType,1.0,1.0,1.0,1.0
32511329,OutOfScope,1.0,1.0,1.0,1.0
32619390,AcquisitionMethod,1.0,1.0,1.0,1.0
32619390,Age,1.0,1.0,1.0,1.0
32619390,AlkylationReagent,1.0,1.0,1.0,1.0
32619390,AnatomicSiteTumor,1.0,1.0,1.0,1.0
32619390,AncestryCategory,1.0,1.0,1.0,1.0
32619390,Bait,1.0,1.0,1.0,1.0
32619390,BMI,1.0,1.0,1.0,1.0
32619390,CellLine,0.0,0.0,0.0,0.0
32619390,CellPart,1.0,1.0,1.0,1.0
32619390,CellType,0.0,0.0,0.0,0.0
32619390,CleavageAgent,1.0,1.0,1.0,1.0
32619390,CollisionEnergy,1.0,1.0,1.0,1.0
32619390,Compound,1.0,1.0,1.0,1.0
32619390,ConcentrationOfCompound,1.0,1.0,1.0,1.0
32619390,Chromatography,1.0,1.0,1.0,1.0
32619390,Depletion,1.0,1.0,1.0,1.0
32619390,DevelopmentalStage,0.0,0.0,0.0,0.0
32619390,Disease,0.0,0.0,0.0,0.0
32619390,DiseaseTreatment,1.0,1.0,1.0,1.0
32619390,EnrichmentMethod,1.0,1.0,1.0,1.0
32619390,Experiment,1.0,1.0,1.0,1.0
32619390,FactorValue,1.0,1.0,1.0,1.0
32619390,FlowRateChromatogram,1.0,1.0,1.0,1.0
32619390,FractionationMethod,0.0,0.0,0.0,0.0
32619390,FractionIdentifier,0.011904761904761904,0.5,0.023255813953488372,0.023809523809523808
32619390,FractionationFraction,1.0,1.0,1.0,1.0
32619390,FragmentationMethod,0.0,0.0,0.0,0.0
32619390,FragmentMassTolerance,1.0,1.0,1.0,1.0
32619390,GeneticModification,1.0,1.0,1.0,1.0
32619390,Genotype,1.0,1.0,1.0,1.0
32619390,GradientTime,1.0,1.0,1.0,1.0
32619390,GrowthRate,1.0,1.0,1.0,1.0
32619390,Instrument,0.0,0.0,0.0,0.0
32619390,IonizationType,1.0,1.0,1.0,1.0
32619390,Label,1.0,1.0,1.0,1.0
32619390,MaterialType,0.0,0.0,0.0,0.0
32619390,Modification,0.25,0.3333333333333333,0.2857142857142857,0.4
32619390,MS2MassAnalyzer,0.0,0.0,0.0,0.0
32619390,NumberOfMissedCleavages,1.0,1.0,1.0,1.0
32619390,NumberOfFractions,1.0,1.0,1.0,1.0
32619390,NumberOfTechnicalReplicates,1.0,1.0,1.0,1.0
32619390,NumberOfSamples,1.0,1.0,1.0,1.0
32619390,NumberOfBiologicalReplicates,1.0,1.0,1.0,1.0
32619390,Organism,0.0,0.0,0.0,0.0
32619390,OrganismPart,0.02,0.5,0.038461538461538464,0.04
32619390,OriginSiteDisease,1.0,1.0,1.0,1.0
32619390,PrecursorMassTolerance,0.0,0.0,0.0,0.0
32619390,PooledSample,1.0,1.0,1.0,1.0
32619390,ReductionReagent,1.0,1.0,1.0,1.0
32619390,SamplingTime,1.0,1.0,1.0,1.0
32619390,SampleTreatment,1.0,1.0,1.0,1.0
32619390,Separation,1.0,1.0,1.0,1.0
32619390,Sex,1.0,1.0,1.0,1.0
32619390,Specimen,1.0,1.0,1.0,1.0
32619390,SpikedCompound,1.0,1.0,1.0,1.0
32619390,Staining,1.0,1.0,1.0,1.0
32619390,Strain,1.0,1.0,1.0,1.0
32619390,SupplementaryFile,1.0,1.0,1.0,1.0
32619390,SyntheticPeptide,1.0,1.0,1.0,1.0
32619390,TumorCellularity,1.0,1.0,1.0,1.0
32619390,TumorGrade,1.0,1.0,1.0,1.0
32619390,TumorSize,1.0,1.0,1.0,1.0
32619390,TumorSite,1.0,1.0,1.0,1.0
32619390,TumorStage,1.0,1.0,1.0,1.0
32619390,Time,0.0,0.0,0.0,0.0
32619390,Temperature,1.0,1.0,1.0,1.0
32619390,Treatment,1.0,1.0,1.0,1.0
32619390,TechnologyType,1.0,1.0,1.0,1.0
32619390,OutOfScope,1.0,1.0,1.0,1.0
32457125,AcquisitionMethod,1.0,1.0,1.0,1.0
32457125,Age,0.0,0.0,0.0,0.0
32457125,AlkylationReagent,1.0,1.0,1.0,1.0
32457125,AnatomicSiteTumor,1.0,1.0,1.0,1.0
32457125,AncestryCategory,0.0,0.0,0.0,0.0
32457125,Bait,1.0,1.0,1.0,1.0
32457125,BMI,1.0,1.0,1.0,1.0
32457125,CellLine,0.0,0.0,0.0,0.0
32457125,CellPart,1.0,1.0,1.0,1.0
32457125,CellType,0.0,0.0,0.0,0.0
32457125,CleavageAgent,1.0,1.0,1.0,1.0
32457125,CollisionEnergy,0.0,0.0,0.0,0.0
32457125,Compound,0.0,0.0,0.0,0.0
32457125,ConcentrationOfCompound,1.0,1.0,1.0,1.0
32457125,Chromatography,1.0,1.0,1.0,1.0
32457125,Depletion,0.0,0.0,0.0,0.0
32457125,DevelopmentalStage,0.0,0.0,0.0,0.0
32457125,Disease,0.0,0.0,0.0,0.0
32457125,DiseaseTreatment,1.0,1.0,1.0,1.0
32457125,EnrichmentMethod,1.0,1.0,1.0,1.0
32457125,Experiment,1.0,1.0,1.0,1.0
32457125,FactorValue,1.0,1.0,1.0,1.0
32457125,FlowRateChromatogram,1.0,1.0,1.0,1.0
32457125,FractionationMethod,1.0,1.0,1.0,1.0
32457125,FractionIdentifier,0.5,0.006944444444444444,0.0136986301369863,0.013888888888888888
32457125,FractionationFraction,1.0,1.0,1.0,1.0
32457125,FragmentationMethod,1.0,1.0,1.0,1.0
32457125,FragmentMassTolerance,0.0,0.0,0.0,0.0
32457125,GeneticModification,1.0,1.0,1.0,1.0
32457125,Genotype,1.0,1.0,1.0,1.0
32457125,GradientTime,1.0,1.0,1.0,1.0
32457125,GrowthRate,1.0,1.0,1.0,1.0
32457125,Instrument,1.0,1.0,1.0,1.0
32457125,IonizationType,1.0,1.0,1.0,1.0
32457125,Label,0.0,0.0,0.0,0.0
32457125,MaterialType,0.0,0.0,0.0,0.0
32457125,Modification,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.5
32457125,MS2MassAnalyzer,0.0,0.0,0.0,0.0
32457125,NumberOfMissedCleavages,1.0,1.0,1.0,1.0
32457125,NumberOfFractions,1.0,1.0,1.0,1.0
32457125,NumberOfTechnicalReplicates,1.0,1.0,1.0,1.0
32457125,NumberOfSamples,1.0,1.0,1.0,1.0
32457125,NumberOfBiologicalReplicates,1.0,1.0,1.0,1.0
32457125,Organism,1.0,1.0,1.0,1.0
32457125,OrganismPart,0.0,0.0,0.0,0.0
32457125,OriginSiteDisease,1.0,1.0,1.0,1.0
32457125,PrecursorMassTolerance,0.0,0.0,0.0,0.0
32457125,PooledSample,1.0,1.0,1.0,1.0
32457125,ReductionReagent,1.0,1.0,1.0,1.0
32457125,SamplingTime,1.0,1.0,1.0,1.0
32457125,SampleTreatment,1.0,1.0,1.0,1.0
32457125,Separation,1.0,1.0,1.0,1.0
32457125,Sex,0.0,0.0,0.0,0.0
32457125,Specimen,1.0,1.0,1.0,1.0
32457125,SpikedCompound,1.0,1.0,1.0,1.0
32457125,Staining,1.0,1.0,1.0,1.0
32457125,Strain,1.0,1.0,1.0,1.0
32457125,SupplementaryFile,1.0,1.0,1.0,1.0
32457125,SyntheticPeptide,1.0,1.0,1.0,1.0
32457125,TumorCellularity,1.0,1.0,1.0,1.0
32457125,TumorGrade,1.0,1.0,1.0,1.0
32457125,TumorSize,1.0,1.0,1.0,1.0
32457125,TumorSite,1.0,1.0,1.0,1.0
32457125,TumorStage,1.0,1.0,1.0,1.0
32457125,Time,1.0,1.0,1.0,1.0
32457125,Temperature,1.0,1.0,1.0,1.0
32457125,Treatment,1.0,1.0,1.0,1.0
32457125,TechnologyType,1.0,1.0,1.0,1.0
32457125,OutOfScope,1.0,1.0,1.0,1.0
31924735,AcquisitionMethod,1.0,1.0,1.0,1.0
31924735,Age,1.0,1.0,1.0,1.0
31924735,AlkylationReagent,1.0,1.0,1.0,1.0
31924735,AnatomicSiteTumor,1.0,1.0,1.0,1.0
31924735,AncestryCategory,1.0,1.0,1.0,1.0
31924735,Bait,1.0,1.0,1.0,1.0
31924735,BMI,1.0,1.0,1.0,1.0
31924735,CellLine,0.0,0.0,0.0,0.0
31924735,CellPart,1.0,1.0,1.0,1.0
31924735,CellType,0.0,0.0,0.0,0.0
31924735,CleavageAgent,1.0,1.0,1.0,1.0
31924735,CollisionEnergy,0.0,0.0,0.0,0.0
31924735,Compound,1.0,1.0,1.0,1.0
31924735,ConcentrationOfCompound,1.0,1.0,1.0,1.0
31924735,Chromatography,1.0,1.0,1.0,1.0
31924735,Depletion,0.0,0.0,0.0,0.0
31924735,DevelopmentalStage,0.0,0.0,0.0,0.0
31924735,Disease,0.0,0.0,0.0,0.0
31924735,DiseaseTreatment,1.0,1.0,1.0,1.0
31924735,EnrichmentMethod,1.0,1.0,1.0,1.0
31924735,Experiment,1.0,1.0,1.0,1.0
31924735,FactorValue,1.0,1.0,1.0,1.0
31924735,FlowRateChromatogram,1.0,1.0,1.0,1.0
