AnnotationType,precision,precision_lb,precision_ub,recall,recall_lb,recall_ub,f1,f1_lb,f1_ub,jacc,jacc_lb,jacc_ub
AcquisitionMethod,1.0,,,1.0,,,1.0,,,1.0,,
Age,0.7,0.4,0.9,0.7,0.4,0.9,0.7,0.4,0.9,0.7,0.4,0.9
AlkylationReagent,0.9,0.6,1.0,0.9,0.5,1.0,0.9,0.5,1.0,0.9,0.5,1.0
AnatomicSiteTumor,1.0,,,1.0,,,1.0,,,1.0,,
AncestryCategory,0.7,0.3,0.9,0.7,0.4,0.9,0.7,0.4,0.9,0.7,0.4,0.9
BMI,1.0,,,1.0,,,1.0,,,1.0,,
Bait,0.9,0.5,1.0,0.9,0.5,1.0,0.9,0.6,1.0,0.9,0.5,1.0
CellLine,0.2,0.0,0.5,0.2,0.0,0.6,0.2,0.0,0.5,0.2,0.0,0.5
CellPart,1.0,,,1.0,,,1.0,,,1.0,,
CellType,0.2,0.0,0.6,0.2,0.0,0.5,0.2,0.0,0.6,0.2,0.0,0.6
Chromatography,1.0,,,1.0,,,1.0,,,1.0,,
CleavageAgent,0.8,0.5,0.95,0.75,0.45,0.925,0.7666666666666666,0.4666666666666666,0.9333333333333332,0.8,0.5,0.95
CollisionEnergy,0.3,0.1,0.6,0.3,0.1,0.6,0.3,0.1,0.6,0.3,0.1,0.7
Compound,0.8,0.5,1.0,0.8,0.5,1.0,0.8,0.5,1.0,0.8,0.4,1.0
ConcentrationOfCompound,1.0,,,1.0,,,1.0,,,1.0,,
Depletion,0.8,0.4,1.0,0.8,0.5,1.0,0.8,0.4,1.0,0.8,0.4,1.0
DevelopmentalStage,0.5,0.2,0.8,0.5,0.2,0.8,0.5,0.2,0.8,0.5,0.2,0.8
Disease,0.125,0.0,0.5,0.15,0.0,0.45,0.13333333333333333,0.0,0.5,0.15,0.0,0.45
DiseaseTreatment,1.0,,,1.0,,,1.0,,,1.0,,
EnrichmentMethod,0.8,0.4,1.0,0.8,0.4,1.0,0.8,0.5,1.0,0.8,0.5,1.0
Experiment,1.0,,,1.0,,,1.0,,,1.0,,
FactorValue,1.0,,,1.0,,,1.0,,,1.0,,
FlowRateChromatogram,1.0,,,1.0,,,1.0,,,1.0,,
FractionIdentifier,0.47875748419226677,0.26238039281517544,0.7324324324324325,0.572123015873016,0.3742063492063492,0.7721230158730159,0.4360869065084826,0.21955948589180604,0.7025711841827968,0.5017610001305653,0.2660382944716026,0.7466269841269841
FractionationFraction,1.0,,,1.0,,,1.0,,,1.0,,
FractionationMethod,0.5,0.2,0.8,0.5,0.2,0.8,0.5,0.2,0.8,0.5,0.2,0.8
FragmentMassTolerance,0.2,0.0,0.5,0.2,0.0,0.6,0.2,0.0,0.5,0.2,0.0,0.5099819604580261
FragmentationMethod,0.3,0.1,0.6,0.3,0.1,0.6,0.3,0.1,0.6,0.3,0.1,0.6
GeneticModification,1.0,,,1.0,,,1.0,,,1.0,,
Genotype,1.0,,,1.0,,,1.0,,,1.0,,
GradientTime,1.0,,,1.0,,,1.0,,,1.0,,
GrowthRate,1.0,,,1.0,,,1.0,,,1.0,,
Instrument,0.3,0.1,0.6,0.3,0.1,0.6,0.3,0.1,0.6,0.3,0.1,0.6
IonizationType,1.0,,,1.0,,,1.0,,,1.0,,
Label,0.5,0.2,0.8,0.5,0.2,0.8,0.5,0.2,0.8,0.5,0.2,0.8
MS2MassAnalyzer,0.5,0.2,0.8,0.5,0.2,0.8,0.5,0.2,0.8,0.5,0.2,0.8
MaterialType,0.3,0.1,0.6,0.3,0.1,0.6,0.3,0.1,0.6,0.3,0.1,0.6
Modification,0.3154761904761904,0.175,0.5499999999999999,0.33666666666666667,0.2033333333333333,0.5666666666666667,0.2963095238095238,0.17626903335691504,0.54634487511129,0.38595238095238094,0.2240951254918431,0.5900000000000001
NumberOfBiologicalReplicates,1.0,,,1.0,,,1.0,,,1.0,,
NumberOfFractions,1.0,,,1.0,,,1.0,,,1.0,,
NumberOfMissedCleavages,1.0,,,1.0,,,1.0,,,1.0,,
NumberOfSamples,1.0,,,1.0,,,1.0,,,1.0,,
NumberOfTechnicalReplicates,1.0,,,1.0,,,1.0,,,1.0,,
Organism,0.5,0.2,0.8,0.5,0.2,0.8,0.5,0.2,0.8,0.5,0.2,0.8
OrganismPart,0.002,0.0,0.01,0.05,0.0,0.25,0.0038461538461538464,0.0,0.019230769230769232,0.004,0.0,0.02
OriginSiteDisease,1.0,,,1.0,,,1.0,,,1.0,,
OutOfScope,1.0,,,1.0,,,1.0,,,1.0,,
PooledSample,1.0,,,1.0,,,1.0,,,1.0,,
PrecursorMassTolerance,0.1,0.0,0.5,0.1,0.0,0.5,0.1,0.0,0.5,0.1,0.0,0.5
ReductionReagent,0.9,0.6,1.0,0.9,0.5,1.0,0.9,0.5,1.0,0.9,0.5,1.0
SampleTreatment,1.0,,,1.0,,,1.0,,,1.0,,
SamplingTime,1.0,,,1.0,,,1.0,,,1.0,,
Separation,0.7,0.4,0.9,0.7,0.4,0.9,0.7,0.4,0.9,0.7,0.4,0.9
Sex,0.6,0.3,0.9,0.6,0.3,0.9,0.6,0.3,0.9,0.6,0.3,0.9
Specimen,1.0,,,1.0,,,1.0,,,1.0,,
SpikedCompound,1.0,,,1.0,,,1.0,,,1.0,,
Staining,1.0,,,1.0,,,1.0,,,1.0,,
Strain,0.9,0.5,1.0,0.9,0.5,1.0,0.9,0.5,1.0,0.9,0.6,1.0
SupplementaryFile,1.0,,,1.0,,,1.0,,,1.0,,
SyntheticPeptide,0.9,0.5,1.0,0.9,0.5,1.0,0.9,0.5,1.0,0.9,0.5,1.0
TechnologyType,1.0,,,1.0,,,1.0,,,1.0,,
Temperature,1.0,,,1.0,,,1.0,,,1.0,,
Time,0.9,0.5,1.0,0.9,0.5,1.0,0.9,0.6,1.0,0.9,0.5,1.0
Treatment,0.9,0.6,1.0,0.9,0.6,1.0,0.9,0.5,1.0,0.9,0.5,1.0
TumorCellularity,1.0,,,1.0,,,1.0,,,1.0,,
TumorGrade,1.0,,,1.0,,,1.0,,,1.0,,
TumorSite,1.0,,,1.0,,,1.0,,,1.0,,
TumorSize,1.0,,,1.0,,,1.0,,,1.0,,
TumorStage,1.0,,,1.0,,,1.0,,,1.0,,
